name,vina_5I85,vina_5I81,vina_5JG8
CHEMBL28172,-8.84,-8.739,-7.933
CHEMBL7385,-8.7,-8.919,-7.762
CHEMBL48767,-8.71,-8.684,-8.554
CHEMBL54786,-8.92,-8.937,-8.091
CHEMBL24974,-8.72,-8.573,-7.752
CHEMBL29571,-8.89,-8.96,-8.627
CHEMBL6729,-8.89,-8.779,-8.634
CHEMBL37169,-8.85,-8.705,-8.764
CHEMBL300739,-8.67,-8.458,-8.298
CHEMBL26999,-8.6,-8.381,-8.339
CHEMBL35743,-8.58,-8.646,-7.94
CHEMBL48713,-8.71,-8.905,-8.269
CHEMBL27093,-8.76,-8.958,-9.074
CHEMBL295569,-8.67,-8.334,-7.353
CHEMBL297711,-8.63,-8.378,-7.87
CHEMBL24034,-8.46,-8.436,-6.986
CHEMBL289645,-8.41,-8.361,-8.18
CHEMBL45966,-8.68,-8.865,-8.385
CHEMBL46169,-8.54,-8.311,-8.013
CHEMBL297017,-8.76,-9.062,-8.591
