name,max_tanimoto_to_train,nearest_train_label
CHEMBL28172,0.591,0
CHEMBL7385,0.617,0
CHEMBL48767,0.329,0
CHEMBL54786,0.397,0
CHEMBL24974,0.388,0
CHEMBL29571,0.479,0
CHEMBL6729,0.724,0
CHEMBL37169,0.391,0
CHEMBL300739,0.297,0
CHEMBL26999,0.542,0
CHEMBL35743,0.478,1
CHEMBL48713,0.29,0
CHEMBL27093,0.473,0
CHEMBL295569,0.459,0
CHEMBL297711,0.387,0
CHEMBL24034,0.403,0
CHEMBL289645,0.42,0
CHEMBL45966,0.319,0
CHEMBL46169,0.515,0
CHEMBL297017,0.293,0
ANALOG_EXP_CHEMBL37169_C(F)(F)F_C16,0.387,1
ANALOG_EXP_CHEMBL24974_C(F)(F)F_C27,0.357,0
ANALOG_EXP_CHEMBL29571_C(F)(F)F_C21,0.382,0
ANALOG_EXP_CHEMBL48767_O_C16,0.305,0
ANALOG_EXP_CHEMBL6729_O_C24,0.694,0
ANALOG_EXP_CHEMBL7385_C(F)(F)F_C19,0.531,0
