name,smiles,vina_best,MW,cLogP,TPSA,HBD,HBA,rotb,SA,QED,charge,CNS_MPO_4d,Tanimoto_NN_approved,NN_approved_drug,Tanimoto_NN_ASMref,novelty_flag,composite
CHEMBL28172,O=C1NCN(c2ccccc2)C12CCN(C1Cc3ccccc3C1)CC2,-8.84,347.5,2.58,35.6,1,3,2,2.93,0.907,0,2.77,0.475,FLUSPIRILENE,0.1,novel,8.966
CHEMBL7385,N#Cc1ccccc1N1CCN(C(=O)c2cc3ccccc3[nH]2)CC1,-8.7,330.4,3.0,63.1,1,3,2,2.1,0.785,0,3.12,0.36,DELAVIRDINE,0.143,novel,8.955
CHEMBL48767,O[C@@H]1c2cc3c(cc2C[C@H]1N1CCC(c2cccc4c2OCCO4)CC1)OCO3,-8.71,395.5,3.02,60.4,1,6,2,3.47,0.844,0,3.0,0.241,NOSCAPINE,0.089,novel,8.914
CHEMBL54786,O=C1Cc2cc(CCN3CCN(c4cccc5ccccc45)CC3)ccc2N1,-8.92,371.5,3.7,35.6,1,3,4,2.17,0.76,0,2.29,0.457,ZIPRASIDONE,0.181,novel,8.876
CHEMBL24974,O=C1OC2(CCN(CC(O)C3COc4ccccc4O3)CC2)CN1CCc1ccccc1,-8.72,438.5,2.72,71.5,1,6,6,3.86,0.748,0,2.73,0.394,FENSPIRIDE,0.133,novel,8.837
CHEMBL29571,O=C1N[C@@H]2CCCC[C@H]2N1C1CCN(Cc2ccc3ccccc3c2)CC1,-8.89,363.5,4.14,35.6,1,2,3,3.05,0.889,0,2.11,0.282,DONEPEZIL,0.123,novel,8.795
CHEMBL6729,CC(=O)NCC1CN(c2ccc(-c3ccc(N4CCOCC4)c(=O)cc3)cc2)C(=O)O1,-8.89,423.5,2.01,88.2,1,6,5,2.87,0.792,0,2.12,0.724,LINEZOLID,0.115,novel,8.791
CHEMBL37169,O=C1NC(CCN2CCN(c3ccc4ccccc4c3)CC2)c2ccccc21,-8.85,371.5,3.84,35.6,1,3,4,2.7,0.757,0,2.21,0.314,FLIBANSERIN,0.122,novel,8.787
CHEMBL300739,O[C@@H]1c2ccc(F)cc2C[C@H]1N1CC=C(c2cccc3c2OCCO3)CC1,-8.67,367.4,3.34,41.9,1,4,2,3.55,0.884,0,2.66,0.264,NEBIVOLOL HYDROCHLORIDE,0.083,novel,8.758
CHEMBL26999,O=C1NCN(c2ccccc2)C12CCN(C1CCc3ccccc3C1)CC2,-8.6,361.5,2.97,35.6,1,3,2,3.36,0.893,0,2.78,0.444,FLUSPIRILENE,0.095,novel,8.734
CHEMBL35743,O=C1Cc2cc(CCN3CCN(c4nsc5ccccc45)CC3)ccc2N1,-8.58,378.5,3.16,48.5,1,5,4,2.45,0.758,0,2.81,0.738,ZIPRASIDONE,0.113,novel,8.72
