name,SMPD3_NSM2,SMPD2_NSM1,SMPD4,ASAH1_acid_ceramidase,ASAH2_neutral_ceramidase,NAAA,max_homolog_Tanimoto,closest_homolog
CHEMBL28172,0.141,0.132,0.071,0.171,0.051,0.191,0.191,NAAA
CHEMBL7385,0.24,0.152,0.101,0.173,0.076,0.257,0.257,NAAA
CHEMBL48767,0.154,0.109,0.085,0.228,0.052,0.197,0.228,ASAH1_acid_ceramidase
CHEMBL54786,0.189,0.183,0.107,0.232,0.098,0.275,0.275,NAAA
CHEMBL24974,0.152,0.134,0.079,0.258,0.125,0.282,0.282,NAAA
CHEMBL29571,0.179,0.149,0.088,0.25,0.101,0.308,0.308,NAAA
CHEMBL6729,0.291,0.233,0.114,0.287,0.107,0.254,0.291,SMPD3_NSM2
CHEMBL37169,0.189,0.172,0.087,0.247,0.072,0.246,0.247,ASAH1_acid_ceramidase
CHEMBL300739,0.173,0.098,0.101,0.198,0.054,0.218,0.218,NAAA
CHEMBL26999,0.16,0.151,0.068,0.186,0.055,0.181,0.186,ASAH1_acid_ceramidase
CHEMBL35743,0.14,0.117,0.093,0.221,0.093,0.227,0.227,NAAA
CHEMBL48713,0.196,0.12,0.095,0.253,0.052,0.233,0.253,ASAH1_acid_ceramidase
CHEMBL27093,0.161,0.152,0.073,0.188,0.051,0.182,0.188,ASAH1_acid_ceramidase
CHEMBL295569,0.194,0.21,0.112,0.233,0.159,0.258,0.258,NAAA
CHEMBL297711,0.244,0.106,0.049,0.181,0.069,0.197,0.244,SMPD3_NSM2
CHEMBL24034,0.155,0.138,0.071,0.238,0.102,0.257,0.257,NAAA
CHEMBL289645,0.228,0.196,0.087,0.207,0.099,0.25,0.25,NAAA
CHEMBL45966,0.204,0.107,0.093,0.247,0.051,0.227,0.247,ASAH1_acid_ceramidase
CHEMBL46169,0.216,0.184,0.082,0.207,0.117,0.276,0.276,NAAA
CHEMBL297017,0.22,0.105,0.084,0.265,0.052,0.227,0.265,ASAH1_acid_ceramidase
